player_id,teammate_id,teammate_name,birthday,country_logo,portrait,half_portrait,rating
csgo_pl_16885,csgo_pl_12708,rigoN,1999-10-07,https://oss.5eplay.com/cloudx/p/sport/csgo/country/7813d7fa20cb7df86ab810d1ecd18d34.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d52b5psconkpudhr3epg.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d52b5qkconkpudhr3eq0.png,
csgo_pl_16885,csgo_pl_19733,DemQQ,2001-05-23,https://oss.5eplay.com/cloudx/p/sport/csgo/country/9ae4c60cfb35d482d07fe7a841fa8705.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d087kasconkt3lege740.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d087kbkconkt3lege74g.png,
csgo_pl_16885,csgo_pl_22361,jottAAA,2002-07-15,https://oss.5eplay.com/cloudx/p/sport/csgo/country/f970ef129240d032f6e0991d1ad255b1.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0fcidsconkt3lege9f0.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0fci8cconkt3lege9eg.png,
csgo_pl_16885,csgo_pl_23274,lugseN,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/f970ef129240d032f6e0991d1ad255b1.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0tan54conkt3legeedg.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0tan5sconkt3legeee0.png,
csgo_pl_21023,csgo_pl_12708,rigoN,1999-10-07,https://oss.5eplay.com/cloudx/p/sport/csgo/country/7813d7fa20cb7df86ab810d1ecd18d34.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d52b5psconkpudhr3epg.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d52b5qkconkpudhr3eq0.png,
csgo_pl_21023,csgo_pl_19733,DemQQ,2001-05-23,https://oss.5eplay.com/cloudx/p/sport/csgo/country/9ae4c60cfb35d482d07fe7a841fa8705.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d087kasconkt3lege740.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d087kbkconkt3lege74g.png,
csgo_pl_21023,csgo_pl_22361,jottAAA,2002-07-15,https://oss.5eplay.com/cloudx/p/sport/csgo/country/f970ef129240d032f6e0991d1ad255b1.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0fcidsconkt3lege9f0.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0fci8cconkt3lege9eg.png,
csgo_pl_21023,csgo_pl_23274,lugseN,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/f970ef129240d032f6e0991d1ad255b1.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0tan54conkt3legeedg.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/d0tan5sconkt3legeee0.png,
csgo_pl_22069,csgo_pl_25524,WUMBO,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_22069,csgo_pl_24890,marekiew,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_22069,csgo_pl_22967,ogwizard,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifbsconklgsjvia00.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifckconklgsjvia0g.png,
csgo_pl_22069,csgo_pl_18706,freshie,2002-04-26,https://oss.5eplay.com/cloudx/p/sport/csgo/country/af64db05f680bdf1e28617628204737d.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m6sconkqks63c52g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m7sconkqks63c530.png,
csgo_pl_25524,csgo_pl_22069,Grizz,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlqcconkt3legdue0.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlr4conkt3legdueg.png,
csgo_pl_25524,csgo_pl_24890,marekiew,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_25524,csgo_pl_22967,ogwizard,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifbsconklgsjvia00.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifckconklgsjvia0g.png,
csgo_pl_25524,csgo_pl_18706,freshie,2002-04-26,https://oss.5eplay.com/cloudx/p/sport/csgo/country/af64db05f680bdf1e28617628204737d.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m6sconkqks63c52g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m7sconkqks63c530.png,
csgo_pl_24890,csgo_pl_22069,Grizz,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlqcconkt3legdue0.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlr4conkt3legdueg.png,
csgo_pl_24890,csgo_pl_25524,WUMBO,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_24890,csgo_pl_22967,ogwizard,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifbsconklgsjvia00.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cpgifckconklgsjvia0g.png,
csgo_pl_24890,csgo_pl_18706,freshie,2002-04-26,https://oss.5eplay.com/cloudx/p/sport/csgo/country/af64db05f680bdf1e28617628204737d.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m6sconkqks63c52g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m7sconkqks63c530.png,
csgo_pl_22967,csgo_pl_22069,Grizz,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlqcconkt3legdue0.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cvcdlr4conkt3legdueg.png,
csgo_pl_22967,csgo_pl_25524,WUMBO,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_22967,csgo_pl_24890,marekiew,,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,,,
csgo_pl_22967,csgo_pl_18706,freshie,2002-04-26,https://oss.5eplay.com/cloudx/p/sport/csgo/country/af64db05f680bdf1e28617628204737d.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m6sconkqks63c52g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m7sconkqks63c530.png,
csgo_pl_18706,csgo_pl_19846,CLASIA,2003-09-17,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cjhfnjsconkqks63as9g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cjhfnksconkqks63asa0.png,
csgo_pl_18706,csgo_pl_15176,Cryptic,2001-02-25,https://oss.5eplay.com/cloudx/p/sport/csgo/country/2df42f69e4220309f4cb1f27860caa65.jpg,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6lvsconkqks63c51g.png,https://oss.5eplay.com/cloudx/p/sport/csgo/player/cku6m0kconkqks63c520.png,
